Zip Code,Total Population,Median Age,Average Household Size,Total Males,Total Females,Total Households
90810,36735,31.8,3.9,18067,18668,9289
90813,58911,27.3,3.5,29425,29486,16425
90814,19131,37.2,2.06,9356,9775,9170
90815,39733,37.9,2.53,19124,20609,14836
90822,117,63.9,4.5,109,8,2
90831,0,0,0,0,0,0
91001,36126,41.6,2.83,17421,18705,12663
91006,31715,42.7,2.98,15283,16432,10652
91007,34095,43.8,2.73,16039,18056,12033
91008,1391,54.6,2.39,614,777,562
91010,26074,38.1,3.2,12461,13613,7972
91011,20280,45.9,2.95,9863,10417,6859
91016,40598,37.9,2.69,19434,21164,15029
91020,8415,40.2,2.43,3966,4449,3385
91024,10917,46.6,2.26,5165,5752,4837
91030,25616,40.1,2.43,12160,13456,10466
91040,20372,43.3,2.72,10120,10252,7359
91042,27585,40.7,2.74,13734,13851,9987
91046,156,74,1.37,51,105,114
91101,20460,33.7,1.86,9926,10534,10869
91103,27480,35,3.11,13481,13999,8492
91104,36751,38.2,2.8,17874,18877,12922
91105,11254,49,2.07,5432,5822,5213
91106,24229,34.6,2.17,11993,12236,10723
91107,32940,41.2,2.51,15940,17000,13028
91108,13361,45.4,3.01,6410,6951,4415
91201,22781,40.4,2.78,11123,11658,8150
91202,22830,41.7,2.56,10805,12025,8879
91203,13220,38.9,2.62,6279,6941,5044
91204,16032,38.1,2.76,7699,8333,5639
91205,37810,39.1,2.67,18084,19726,14089
91206,33065,42.6,2.48,15544,17521,13261
91207,10506,45.5,2.56,4924,5582,4097
91208,16245,43.6,2.66,7756,8489,6106
91210,328,33.9,1.84,162,166,178
91214,30356,42.5,2.87,14642,15714,10551
91301,25488,42.7,2.76,12511,12977,9208
91302,25709,42.4,2.76,12487,13222,9303
91303,26855,31.1,3.08,13907,12948,8697
91304,50231,35.9,3,24827,25404,16532
91306,45061,35.4,3.28,22679,22382,13635
91307,24474,43.4,2.91,11939,12535,8315
91311,36557,42.7,2.66,17838,18719,13425
91316,26898,42.1,2.26,12717,14181,11911
91321,34882,33.3,3.04,17402,17480,11215
91324,27669,36.5,2.95,13545,14124,9289
91325,32417,35.4,2.72,15819,16598,11825
91326,33708,42.7,2.86,16394,17314,11770
91330,2702,19.6,2.5,1103,1599,2
